"Site_Code","Site_Name","Category","Area","Long","Lat"
"P0002","Ainsworth Reserve","Neighbourhood Park",23385.69,144.800904,-37.786788
"P0004","April/Trevose Reserve","Local Park",2916.83,144.770285,-37.750134
"P0003","Antwerp Drive Reserve","Neighbourhood Park",6132.79,144.810706,-37.722008
"P0006","Arthur Street Reserve","Neighbourhood Park",1725.94,144.805972,-37.733742
"P0007","Ashton Avenue Reserve","Local Park",5423.67,144.823945,-37.744678
"P0009","Austral/Sheldon Reserve","Neighbourhood Park",977.00,144.805316,-37.794025
"P0012","King Edward Avenue Reserve","Neighbourhood Park",1395.21,144.823288,-37.781677
"P0013","Beachley Reserve","Neighbourhood Park",31000.80,144.823617,-37.797099
"P0015","Bennett/Roberts Reserve","Local Park",2192.52,144.815531,-37.801589
"P0016","Bickley/McCoubrie Reserve","Local Park",2796.72,144.827496,-37.802028
"P0018","Biggs/William Street Reserve","Suburban Park",13558.87,144.815802,-37.738055
"P0019","Billingham/Birchwood Reserve","Local Park",5414.89,144.769455,-37.75842
"P0021","Parmelia Drive Reserve","Neighbourhood Park",27662.83,144.785284,-37.70485
"P0023","Bridget/Gum Reserve","Local Park",4376.30,144.774712,-37.740232
"P0024","Bundeena Avenue Reserve","Neighbourhood Park",3844.07,144.824752,-37.730271
"P0025","Bundeena/Valewood Reserve","Local Park",4659.45,144.825376,-37.732185
"P0027","Burton Close Reserve","Local Park",2287.94,144.804511,-37.718991
"P0028","Cadiz Place Reserve","Local Park",9919.64,144.811013,-37.718643
"P0029","Calais/Delbridge Reserve","Suburban Park",10881.88,144.760524,-37.698778
"P0030","Calder Park/Community Hub Reserve","Neighbourhood Park",18637.22,144.755531,-37.703003
"P0035","Clarke/Station Reserve","Local Park",1564.51,144.819625,-37.745428
"P0039","Cohuna Court Reserve","Local Park",2711.24,144.803896,-37.706314
"P0040","Collinson Street Reserve","Neighbourhood Park",1595.44,144.856889,-37.723761
"P0041","Copernicus/Morris Reserve","Local Park",5708.74,144.801666,-37.721231
"P0043","Corunna Avenue Reserve","Neighbourhood Park",2076.02,144.782352,-37.73142
"P0045","Cowley Street Reserve","Neighbourhood Park",10367.39,144.769454,-37.714415
"P0046","Cowper Avenue Reserve","Neighbourhood Park",5901.02,144.821736,-37.742513
"P0048","Cromwell Road Reserve","Neighbourhood Park",21523.65,144.770592,-37.737289
"P0050","Dalton Street Reserve","Suburban Park",16304.83,144.814591,-37.795839
"P0051","Darebin/Stockwell Reserve","Local Park",6670.72,144.792657,-37.714709
"P0053","John McLeod Reserve","Neighbourhood Park",66675.48,144.777252,-37.772157
"P0058","Dowling Street Reserve","Local Park",3377.45,144.829507,-37.736703
"P0059","Driscolls Road Reserve","Neighbourhood Park",3224.55,144.82666,-37.73505
"P0061","Eisner/Woods Street Reserve","Local Park",2087.00,144.812275,-37.735964
"P0066","Delahey Emerald Park","Neighbourhood Park",8722.93,144.765597,-37.721459
"P0067","G. Scholte Reserve","Local Park",966.39,144.802751,-37.730236
"P0070","Glenmaggie Drive Reserve","Neighbourhood Park",10016.17,144.80894,-37.764034
"P0065","Evergreen Reserve","Suburban Park",28680.86,144.764574,-37.745139
"P0075","Willys Avenue Reserve","Neighbourhood Park",37153.24,144.795305,-37.71639
"P0076","Harefield Crescent Reserve","Suburban Park",12959.05,144.824131,-37.737734
"P0077","Hemel/Keynes/Stevenage Reserve","Local Park",1692.01,144.765547,-37.754027
"P0080","International Gardens Reserve","Neighbourhood Park",28626.43,144.78565,-37.731876
"P3064","Kororoit Creek (NS Station - Billingham)","Neighbourhood Park",71402.06,144.764925,-37.763793
"P0091","Larisa Reserve","Neighbourhood Park",22633.59,144.81921,-37.7492
"P0092","Lillypilly Crescent Reserve","Neighbourhood Park",1875.20,144.779217,-37.728642
"P0095","Lloyd Reserve","Neighbourhood Park",17851.61,144.82293,-37.764136
"P0096","Lowe Crescent Reserve","Neighbourhood Park",4676.65,144.844172,-37.787403
"P0098","Maple Crescent Reserve","Neighbourhood Park",1868.94,144.811198,-37.753624
"P0099","McKechnie Reserve","Local Park",44441.84,144.79809,-37.746556
"P0103","Myuna Drive Reserve","Neighbourhood Park",7007.24,144.778111,-37.735525
"P0105","Noble Court Reserve","Suburban Park",5577.30,144.793253,-37.796284
"P0106","Nordic/Penrhyn Reserve","Local Park",7960.59,144.796701,-37.694458
"P0107","Nordic/Vasa Reserve","Local Park",6464.94,144.799224,-37.696263
"P0108","Northumberland Road Reserve","Neighbourhood Park",3560.18,144.842533,-37.768886
"P0109","Conrad Street Reserve","Neighbourhood Park",4036.90,144.798514,-37.732679
"P0116","Patterson Gardens","Neighbourhood Park",1085.71,144.824785,-37.721668
"P0117","Percy Street Reserve","Local Park",4996.80,144.80481,-37.748636
"P0215","Pioneer Park","Neighbourhood Park",69276.66,144.76025,-37.687296
"P0119","Power Street Reserve","Park / Reserve",589.02,144.797895,-37.730122
"P0120","Queen Victoria/Prince Albert Reserve","Local Park",12003.92,144.789266,-37.704107
"P0121","Ralph Reserve","Local Park",17893.61,144.799106,-37.792369
"P0124","Robert Bruce Reserve","Neighbourhood Park",32507.94,144.776381,-37.754102
"P0126","Rushdale/Trelawny Reserve","Local Park",1563.61,144.771352,-37.735011
"P0131","Sherbrooke Crescent Reserve","Park / Reserve",696.73,144.802549,-37.711623
"P0133","Solomon Drive Reserve","Neighbourhood Park",14576.60,144.82984,-37.721703
"P0135","Suffolk Road Reserve","Local Park",2042.67,144.83925,-37.772396
"P0136","Ardeer Community Park","Suburban Park",15642.59,144.805929,-37.782716
"P0141","Tamar Drive Reserve","Neighbourhood Park",50478.57,144.763771,-37.756139
"P0143","Terrye Court Reserve","Local Park",4993.35,144.753784,-37.697718
"P0150","William Street Reserve (opposite Luxford","Local Park",2577.09,144.81285,-37.737471
"P0151","William/Woods Street Reserve","Park / Reserve",2086.40,144.812527,-37.736722
"P0146","Verona Drive Reserve","Suburban Park",14358.50,144.796884,-37.698013
"P0174","Stockton Run Reserve","Neighbourhood Park",12361.83,144.779259,-37.756669
"P0176","Flowerdale Road Reserve","Park / Reserve",2620.47,144.780544,-37.759552
"P0179","Patterson Avenue Reserve","Local Park",1061.62,144.826222,-37.717507
"P0195","Lynch Gardens","Local Park",6151.31,144.833267,-37.779513
"P0198","Bloomingdale/Witchwood/Woodland Reserve","Local Park",2593.61,144.767069,-37.745993
"P0199","Capri/Porter Reserve","Local Park",1927.18,144.775731,-37.758706
"P0200","Nicholson/Talintyre Reserve","Local Park",2538.21,144.808499,-37.79794
"P0205","Robinson Court Reserve","Neighbourhood Park",2725.95,144.780227,-37.713132
"P0208","Ulmara Place Reserve and Access Way","Local Park",1577.08,144.81356,-37.726559
"P0210","Hume Drive Retarding Basin","Local Park",3036.29,144.781015,-37.710861
"P0211","Kamarooka Street Heritage Reserve","Park / Reserve",1609.84,144.820717,-37.780205
"P3002","Calder Park Drive/Victoria Easement","Park / Reserve",1186.95,144.759395,-37.683992
"P3007","Frost/Taylors Road Easement","Local Park",8735.22,144.771888,-37.725085
"P0047","Cranbourne Avenue Reserve","Park / Reserve",531.00,144.826954,-37.768257
"P0189","Elford Green Reserve","Neighbourhood Park",7373.88,144.793387,-37.764736
