central_asset_id,site_name,suburb,Long,Lat
PG000001,Ailsa Street Reserve,Keilor,144.836788,-37.717456
PG000003,Albanvale Community Centre,Albanvale,144.773767,-37.744666
PG000004,Albanvale Preschool,Albanvale,144.773522,-37.744392
PG000006,Albion Preschool,Albion,144.819543,-37.778865
PG000007,Alexandra Avenue Child Care Centre,Sunshine,144.838294,-37.782922
PG000008,Antwerp Drive Reserve,Keilor Downs,144.81087,-37.721853
PG000009,Ashton Avenue Reserve,St Albans,144.823987,-37.744968
PG000010,Taylors Creek Linear Park,Keilor,144.820855,-37.711164
PG000011,Austral/Sheldon Reserve,Sunshine West,144.805336,-37.794137
PG000012,Balmoral Park,Derrimut,144.766787,-37.791985
PG000013,Balmoral Park,Derrimut,144.763543,-37.791856
PG000014,Barbary Crescent Preschool,Taylors Lakes,144.791996,-37.709848
PG000015,King Edward Avenue Reserve,Albion,144.823305,-37.781579
PG000016,Beachley Reserve,Sunshine,144.825108,-37.796998
PG000017,Bellara Crescent Reserve,Kealba,144.819748,-37.730741
PG000151,Bentley Dr/Duncombe Park Way Res No 1,Deer Park,144.761991,-37.780281
PG000020,Biggs/William Street Reserve,St Albans,144.816127,-37.738248
PG000021,Bloomingdale/Witchwood/Woodland Reserve,Albanvale,144.767058,-37.746009
PG000022,Bon Thomas Reserve,Deer Park,144.76612,-37.773281
PG000023,Parmelia Drive Reserve,Taylors Lakes,144.784881,-37.704534
PG000024,Bonfield Reserve,Keilor,144.837289,-37.724064
PG000025,Bundeena Avenue Reserve,Kealba,144.825013,-37.730122
PG000026,Kevin Flint Memorial Reserve,Cairnlea,144.795337,-37.759392
PG000027,Calais/Delbridge Reserve,Sydenham,144.760288,-37.698631
PG000028,Calder Park/Community Hub Reserve,Hillside,144.755637,-37.702403
PG000029,Calder Rise Reserve,Keilor,144.823397,-37.71707
PG000030,Capesthorne Drive Reserve,Derrimut,144.761214,-37.794026
PG000031,Capri/Porter Reserve,Deer Park,144.775865,-37.758671
PG000032,Caprice Court Reserve,Keilor Downs,144.79263,-37.719935
PG000033,Clarian Street Reserve,Cairnlea,144.788951,-37.767055
PG000034,Clarke/Station Reserve,St Albans,144.819544,-37.745396
PG000035,Cliff Harvey Lagoon Reserve,Keilor,144.836918,-37.721261
PG000036,Cocoparra Crescent Reserve,Taylors Lakes,144.800087,-37.710208
PG000037,Collinson Street Reserve,Keilor Park,144.856922,-37.723832
PG000038,Copernicus Way Reserve,Keilor Downs,144.790643,-37.718144
PG000039,Corunna Avenue Reserve,St Albans,144.782271,-37.731533
PG000040,Solent Crescent Reserve,Taylors Lakes,144.786108,-37.708707
PG000041,Cowley Street Reserve,Delahey,144.769818,-37.71437
PG000042,Cowper Avenue Reserve,St Albans,144.821948,-37.742309
PG000044,Cromwell Road Reserve,Kings Park,144.770681,-37.73749
PG000046,Dalton Street Reserve,Sunshine West,144.814631,-37.796257
PG000047,Davitt Reserve,Deer Park,144.763642,-37.761599
PG000048,Deer Park Children's Community Centre,Deer Park,144.775867,-37.771102
PG000049,John McLeod Reserve,Deer Park,144.776504,-37.77181
PG000050,Deer Park Playgroup Centre,Deer Park,144.77514,-37.765498
PG000051,Deer Park West Preschool,Deer Park,144.763817,-37.772843
PG000052,Delahey Community Centre,Delahey,144.772204,-37.716952
PG000053,Delahey Community Centre,Delahey,144.771941,-37.716974
PG000054,Delahey Emerald Park,Delahey,144.765569,-37.721276
PG000055,Dempster Park,Sunshine North,144.836644,-37.775479
PG000056,Dongola Road Reserve,Keilor Downs,144.812127,-37.728212
PG000057,Dorothy Carlton Preschool,Sunshine North,144.825982,-37.762234
PG000058,Dowling Street Reserve,Kealba,144.829374,-37.73654
PG000059,Driscolls Road Reserve,Kealba,144.826325,-37.735264
PG000060,Duke Street Community Centre,Sunshine,144.844606,-37.791107
PG000061,Duke Street Reserve,Sunshine North,144.849077,-37.771889
PG000062,East Sunshine Preschool,Sunshine,144.844614,-37.787467
PG000063,Eisner/Woods Street Reserve,St Albans,144.812095,-37.735821
PG000064,Elford Green Reserve,Cairnlea,144.79335,-37.764515
PG000065,Empress/Harwood Reserve,Sunshine West,144.792922,-37.791396
PG000066,Epalock Crescent Preschool,St Albans,144.806111,-37.761064
PG000067,Epalock Crescent Preschool,St Albans,144.805811,-37.760978
PG000068,Errington Reserve,St Albans,144.803354,-37.744838
PG000069,Esplanade Reserve,Sydenham,144.766491,-37.693093
PG000070,Eurora/Koroit Place Reserve,Taylors Lakes,144.80042,-37.707366
PG000071,Evergreen Reserve,Albanvale,144.763872,-37.744838
PG000072,Fairbairn Road Preschool,Sunshine West,144.818869,-37.797116
PG000073,Fairways Bvd. / Abernethy Ave.Reserve,Deer Park,144.766848,-37.778971
PG000074,Gillespie/Main Road West Easement,Kings Park,144.766666,-37.734761
PG000075,Glenmaggie Drive Reserve,St Albans,144.809062,-37.763829
PG000076,Delahey Recreation Reserve,Delahey,144.775157,-37.716232
PG000077,Delahey Recreation Reserve,Delahey,144.772372,-37.716484
PG000079,Grantham Green Reserve,St Albans,144.820678,-37.755969
PG000080,Green Gully Reserve,Keilor Downs,144.819086,-37.727613
PG000081,Gresham Way Reserve,Sunshine West,144.80567,-37.798837
PG000082,Hammerwood Avenue Reserve,Derrimut,144.770411,-37.786095
PG000083,Harefield Crescent Reserve,Kealba,144.824246,-37.738097
PG000084,Highcombe Crescent Reserve,St Albans,144.790367,-37.730015
PG000085,Huart Reserve,St Albans,144.798593,-37.741571
PG000086,Hunt Club Community Arts Centre,Deer Park,144.779011,-37.771605
PG000087,International Gardens Reserve,St Albans,144.785563,-37.731267
PG000088,Jackman Crescent Reserve,Keilor,144.825284,-37.710929
PG000089,Jamieson Street Reserve,St Albans,144.788058,-37.741123
PG000090,Keilor Downs Child Care Centre,Keilor Downs,144.804398,-37.725814
PG000091,Keilor Downs MCHC & Preschool,Keilor Downs,144.810238,-37.721947
PG000093,Keilor Downs Playgroup,Keilor Downs,144.802102,-37.727761
PG000094,Keilor Downs Recreation Reserve,Keilor Downs,144.797237,-37.723849
PG000095,Keilor Gatehouse Preschool,Keilor,144.82318,-37.715527
PG000096,Keilor Lodge Reserve,Taylors Lakes,144.777255,-37.689958
PG000097,Keilor Park Preschool,Keilor Park,144.858165,-37.720542
PG000098,Keilor Park Recreation Reserve,Keilor Park,144.856642,-37.71511
PG000099,Keilor Preschool,Keilor,144.833921,-37.719564
PG000101,Kenwood Green Reserve,Derrimut,144.768573,-37.794506
PG000102,Killeen Street Child Care Centre,Sunshine West,144.819104,-37.797252
PG000103,Killeen Street Child Care Centre,Sunshine West,144.81902,-37.797149
PG000104,Kings Park Preschool,Kings Park,144.77531,-37.731419
PG000105,Kings Park Reserve,Kings Park,144.775744,-37.733498
